listing_id,description,room_type,formatted_description,formatted_room_type
29751447,The Cozy Corner in BedStuy,Entire home/apt,The Cozy Corner in BedStuy,entire home/apt
29753642,Comfortable room in family home in Brooklyn!,Private room,Comfortable room in family home in Brooklyn!,private room
29753750,Large Suite w/private bathroom by central park,private room,Large Suite w/private bathroom by central park,private room
29754544,"Comfortable- JFK,LGA Best Value",Private room,"Comfortable- JFK,LGA Best Value",private room
29754946,Large studio in midtown east,Entire home/apt,Large studio in midtown east,entire home/apt
29756137,2 bedroom Apartment.,Entire home/apt,2 bedroom Apartment.,entire home/apt
29756451,"Entire Townhouse in Boerum Hill, Brooklyn",Entire home/apt,"Entire Townhouse in Boerum Hill, Brooklyn",entire home/apt
29758199,Queens home with a view,entire home/apt,Queens home with a view,entire home/apt
29758221,Entire floor of apartment with separate entrance,Private room,Entire floor of apartment with separate entrance,private room
29758404,Entire Apartment in Beautiful Brooklyn Brownstone,ENTIRE HOME/APT,Entire Apartment in Beautiful Brooklyn Brownstone,entire home/apt
29759120,Spacious Home with Backyard in Brooklyn,ENTIRE HOME/APT,Spacious Home with Backyard in Brooklyn,entire home/apt
29760102,Minimal Loft in heart of Williamsburg -waterfront,ENTIRE HOME/APT,Minimal Loft in heart of Williamsburg -waterfront,entire home/apt
29760452,Cozy Brooklyn room 15min to Manhattan by subway!,private room,Cozy Brooklyn room 15min to Manhattan by subway!,private room
29760512,1 double size bedroom 0.1 mile from Times Square.,Private room,1 double size bedroom 0.1 mile from Times Square.,private room
29760721,Room M near Columbia,private room,Room M near Columbia,private room
29760740,Single bedroom in Brooklyn,Private room,Single bedroom in Brooklyn,private room
29760869,Studio in East Harlem,Entire home/apt,Studio in East Harlem,entire home/apt
29761111,"Clean, Convenient & Comfy Apt in FLATIRON! :-)",Private room,"Clean, Convenient & Comfy Apt in FLATIRON! :-)",private room
29761241,Midtown room in the center of the NYC universe.,private room,Midtown room in the center of the NYC universe.,private room
29761534,FREE YOGA with Goodyoga's Guest Room!,Private room,FREE YOGA with Goodyoga's Guest Room!,private room
29763219,"Bright one bedroom.  Lorimer (J,M) broadway (G)",Entire home/apt,"Bright one bedroom. Lorimer (J,M) broadway (G)",entire home/apt
29765101,Luxury 2 Beds 2 Bath / Lincoln center,ENTIRE HOME/APT,Luxury 2 Beds 2 Bath / Lincoln center,entire home/apt
29766259,Cozy Artsy Room 2nd,Private room,Cozy Artsy Room 2nd,private room
29775040,Entire Brooklyn Brownstone Apartment with Laundry,ENTIRE HOME/APT,Entire Brooklyn Brownstone Apartment with Laundry,entire home/apt
29775262,Private Room in Beautiful Brooklyn Apt!,private room,Private Room in Beautiful Brooklyn Apt!,private room
29775749,Modern Luxury 1BR Apt,ENTIRE HOME/APT,Modern Luxury 1BR Apt,entire home/apt
29776064,New York Home with a View,Entire home/apt,New York Home with a View,entire home/apt
29776209,Large room + private bathroom by Central Park,PRIVATE ROOM,Large room + private bathroom by Central Park,private room
29776313,Suite Splendor near the Prospect Park.,Entire home/apt,Suite Splendor near the Prospect Park.,entire home/apt
29776797,"Huge bright 1,500SqFt loft. Subway down the street",Entire home/apt,"Huge bright 1,500SqFt loft. Subway down the street",entire home/apt
29777077,Trendy Soho Apartment,Entire home/apt,Trendy Soho Apartment,entire home/apt
29777278,Vintage Room &prvt bathroom Central Park Manhattan,Private room,Vintage Room &prvt bathroom Central Park Manhattan,private room
29777857,Contemporary room in front of Central Park,Private room,Contemporary room in front of Central Park,private room
29778083,NYC East Village 1 BR / Studio,Entire home/apt,NYC East Village 1 BR / Studio,entire home/apt
29778309,Spice Island Hotspot,Private room,Spice Island Hotspot,private room
29778804,Giant private bedroom w 1/2 bathroom in 4BR apt,Private room,Giant private bedroom w 1/2 bathroom in 4BR apt,private room
29779072,Massive Large 4 bedrooms 2 bathrooms in Manhattan,Private room,Massive Large 4 bedrooms 2 bathrooms in Manhattan,private room
29779831,Bedstuy Artists Quarter (tower corner room),Private room,Bedstuy Artists Quarter (tower corner room),private room
29779937,**  2 Bedrooms in Central NYC! ***,Entire home/apt,** 2 Bedrooms in Central NYC! ***,entire home/apt
29780117,"one bedroom apartment safe, clean, best price",Private room,"one bedroom apartment safe, clean, best price",private room
29780690,Home away from home,Private room,Home away from home,private room
29780863,Private Studio Chelsea 23 x 8th Ave 30sec to train,Private room,Private Studio Chelsea 23 x 8th Ave 30sec to train,private room
29781238,"Spacious, private room near Empire State Building",Private room,"Spacious, private room near Empire State Building",private room
29781403,Modern Apartment in Brooklyn with deck and yard,ENTIRE HOME/APT,Modern Apartment in Brooklyn with deck and yard,entire home/apt
29781691,East meets West,Entire home/apt,East meets West,entire home/apt
29787085,Half block to NY. Flushing Chinatown. Main Street,PRIVATE ROOM,Half block to NY. Flushing Chinatown. Main Street,private room
29790239,Comfortable artistic Brooklyn apartment,ENTIRE HOME/APT,Comfortable artistic Brooklyn apartment,entire home/apt
29791183,Nice room in Astoria 20min to Manhattan,Private room,Nice room in Astoria 20min to Manhattan,private room
29792926,Sun-lit downtown apartment in the West Village,Entire home/apt,Sun-lit downtown apartment in the West Village,entire home/apt
29793730,Elevated Bushwick Apartment w/360 Brooklyn Views,entire home/apt,Elevated Bushwick Apartment w/360 Brooklyn Views,entire home/apt
29794270,Barrett’s Family Home,Private room,Barrett’s Family Home,private room
29794702,Spacious 1BR BK Hideaway Steps from Prospect Pk,Entire home/apt,Spacious 1BR BK Hideaway Steps from Prospect Pk,entire home/apt
29796861,Our home sweet home,entire home/apt,Our home sweet home,entire home/apt
29797153,PRIVATE ROOM NEAR BOTH AIRPORTS AND SUBWAY/LIRR,Private room,PRIVATE ROOM NEAR BOTH AIRPORTS AND SUBWAY/LIRR,private room
29797522,"Near to all trains, 15 minute from JFK, safe house",Private room,"Near to all trains, 15 minute from JFK, safe house",private room
29797672,Entire downstairs 1.5 baths & private backyard,Private room,Entire downstairs 1.5 baths & private backyard,private room
29797712,Brooklyn Magic Space,Entire home/apt,Brooklyn Magic Space,entire home/apt
29798763,1 BDRM close to JFK airport cozy & clean HOUSE NYC,Entire home/apt,1 BDRM close to JFK airport cozy & clean HOUSE NYC,entire home/apt
29798872,Comfortable private room near Columbia University,Private room,Comfortable private room near Columbia University,private room
29800110,"Modern, comfy, and cool",ENTIRE HOME/APT,"Modern, comfy, and cool",entire home/apt
29800664,Private bedroom 3 stops from Grand Central,Private room,Private bedroom 3 stops from Grand Central,private room
29800915,Entire floor (private entrance) w/ 1 BR in NYC,ENTIRE HOME/APT,Entire floor (private entrance) w/ 1 BR in NYC,entire home/apt
29801113,"Near LGA and JFK Airport 
Charming Guest Suite",Private room,"Near LGA and JFK Airport 
Charming Guest Suite",private room
29801175,Large private bedroom 1 stop from Manhattan,Private room,Large private bedroom 1 stop from Manhattan,private room
29802895,"Near LGA and JFK airport 
Small Cozy Room",Private room,"Near LGA and JFK airport 
Small Cozy Room",private room
29803428,Spacious West Village Studio,ENTIRE HOME/APT,Spacious West Village Studio,entire home/apt
29804246,Huge Studio style room in Manhattan -Private Bath,Private room,Huge Studio style room in Manhattan -Private Bath,private room
29804415,"BRIGHT, SPACIOUS, QUIET Luxury Oasis, DowntownNYC!",Entire home/apt,"BRIGHT, SPACIOUS, QUIET Luxury Oasis, DowntownNYC!",entire home/apt
29804907,"2 bedroom apartment in Sunset Park, Brooklyn",ENTIRE HOME/APT,"2 bedroom apartment in Sunset Park, Brooklyn",entire home/apt
29805233,Brand New NYC Apartment: Central Park & Midtown,Entire home/apt,Brand New NYC Apartment: Central Park & Midtown,entire home/apt
29806013,NICE BED IN A SHARED ROOM FOR A MAN NEAR MIDTOWN 1,SHARED ROOM,NICE BED IN A SHARED ROOM FOR A MAN NEAR MIDTOWN 1,shared room
29806992,"Luxurious townhouse, 2bd w/Loft+2bath+High-ceiling",entire home/apt,"Luxurious townhouse, 2bd w/Loft+2bath+High-ceiling",entire home/apt
29809200,Bargain Warm Spacious Studio in Carroll Gardens!,Entire home/apt,Bargain Warm Spacious Studio in Carroll Gardens!,entire home/apt
29814549,"Comfy, Cozy Studio at the Grand Old Mansion",Entire home/apt,"Comfy, Cozy Studio at the Grand Old Mansion",entire home/apt
29816922,Bright warmth 2min bus 4min subway 窗下凉台花园房｡,shared room,Bright warmth 2min bus 4min subway 窗下凉台花园房｡,shared room
29820510,Large bedroom with private  bathroom,PRIVATE ROOM,Large bedroom with private bathroom,private room
29821404,Sunny Bohemian Apartment in Solar Building!,Entire home/apt,Sunny Bohemian Apartment in Solar Building!,entire home/apt
29822259,Warm Wiliamsburg Retreat,private room,Warm Wiliamsburg Retreat,private room
29822873,West Village Corner 1 Bedroom GEM,entire home/apt,West Village Corner 1 Bedroom GEM,entire home/apt
29824401,"Large private room Williamsburg, Luxury Building",Private room,"Large private room Williamsburg, Luxury Building",private room
29824856,Comfortable and Modern BedStuy Hideaway,entire home/apt,Comfortable and Modern BedStuy Hideaway,entire home/apt
29825469,Entire Top Floor Suite with Private Bathroom.,PRIVATE ROOM,Entire Top Floor Suite with Private Bathroom.,private room
29825538,My magical home steps from Times Square,ENTIRE HOME/APT,My magical home steps from Times Square,entire home/apt
29825825,Home away from home. Private apt across from park.,entire home/apt,Home away from home. Private apt across from park.,entire home/apt
29827109,Modern 1BR in Williamsburg by NÔM Stays,Entire home/apt,Modern 1BR in Williamsburg by NÔM Stays,entire home/apt
29827403,"“TIME SQUARE” 43rd Street
Big Bedroom on 1st floor",Private room,"“TIME SQUARE” 43rd Street
Big Bedroom on 1st floor",private room
29827530,Bright Brooklyn Brownstone,Entire home/apt,Bright Brooklyn Brownstone,entire home/apt
29827671,Private bedroom in large apartment in East Harlem,Private room,Private bedroom in large apartment in East Harlem,private room
29827690,Private master bedroom next to Central Park & CU,Private room,Private master bedroom next to Central Park & CU,private room
29827781,NYC WARM CLEAN COZY CLOSET EXPERIENCE ROOM 3 PPL,Private room,NYC WARM CLEAN COZY CLOSET EXPERIENCE ROOM 3 PPL,private room
29828155,Bergen Beach Beauty,Entire home/apt,Bergen Beach Beauty,entire home/apt
29828333,"**Harlem, Chic Getaway! 5m to Dining/Trains***",Entire home/apt,"**Harlem, Chic Getaway! 5m to Dining/Trains***",entire home/apt
29828614,New York home ferry ride from Manhattan.,Private room,New York home ferry ride from Manhattan.,private room
29828852,Small Room Close to Astoria Park,private room,Small Room Close to Astoria Park,private room
29829066,Convenient 2 BR next to train minutes to Manhattan,Entire home/apt,Convenient 2 BR next to train minutes to Manhattan,entire home/apt
29829412,Private Room 1 - Central Park / CU mins away,private room,Private Room 1 - Central Park / CU mins away,private room
29829829,"Modern 1BR Apt in Heart of LES, near Subway!",ENTIRE HOME/APT,"Modern 1BR Apt in Heart of LES, near Subway!",entire home/apt
29831106,"TIME SQUARE” 43rd street
Private room on 1st floor",Private room,"TIME SQUARE” 43rd street
Private room on 1st floor",private room
29831510,Private Room 2 - Next to Central Park / CU,Private room,Private Room 2 - Next to Central Park / CU,private room
29831517,Large private bedroom in private house.,PRIVATE ROOM,Large private bedroom in private house.,private room
29831549,Cozy Room Conveniently Located Near Central Park,Private room,Cozy Room Conveniently Located Near Central Park,private room
29832437,Room Q near Columbia,Private room,Room Q near Columbia,private room
29833375,Brooklyn Loft Bedroom II,Private room,Brooklyn Loft Bedroom II,private room
29834133,"Quiet private bedroom in Bed-Stuy, Brooklyn",Private room,"Quiet private bedroom in Bed-Stuy, Brooklyn",private room
29834597,Cozy studio with private entrance,Entire home/apt,Cozy studio with private entrance,entire home/apt
29835041,Hudson Yard - Comfy Queen Room,private room,Hudson Yard - Comfy Queen Room,private room
29835159,Bright and Comfortable Home in Brooklyn,entire home/apt,Bright and Comfortable Home in Brooklyn,entire home/apt
29835357,East Village Oasis,Entire home/apt,East Village Oasis,entire home/apt
29838125,Beautiful Private Room 20 min to city X,Private room,Beautiful Private Room 20 min to city X,private room
29838679,EXCELLENT private room X,Private room,EXCELLENT private room X,private room
29844533,Bright and stylish 1 bedroom,Entire home/apt,Bright and stylish 1 bedroom,entire home/apt
29844951,Cozy Home In Queens,private room,Cozy Home In Queens,private room
29847462,"Park Slope - Brand New Bright 3 Bedroom, 2.5 Bath",Entire home/apt,"Park Slope - Brand New Bright 3 Bedroom, 2.5 Bath",entire home/apt
29847492,Cozy Studio in the Upper East (30 DAYS MIN),ENTIRE HOME/APT,Cozy Studio in the Upper East (30 DAYS MIN),entire home/apt
29849331,Spacious and Bright Williamsburg Loft,Entire home/apt,Spacious and Bright Williamsburg Loft,entire home/apt
29849986,Ultra modern Luxury apartment in Time Square,Entire home/apt,Ultra modern Luxury apartment in Time Square,entire home/apt
29850433,A Express Train Studio,entire home/apt,A Express Train Studio,entire home/apt
29852402,Flex Room With Private Patio in Bushwick,SHARED ROOM,Flex Room With Private Patio in Bushwick,shared room
29853088,Cute & convenient garden apartment in Astoria/LIC,entire home/apt,Cute & convenient garden apartment in Astoria/LIC,entire home/apt
29854034,New York Luxury condo with Queens view,Entire home/apt,New York Luxury condo with Queens view,entire home/apt
29854048,Light Airy & Hip One Bedroom in Greenwhich Village,Entire home/apt,Light Airy & Hip One Bedroom in Greenwhich Village,entire home/apt
29854118,Central 1 bedroom in East Village NYC July Deal$$$,Entire home/apt,Central 1 bedroom in East Village NYC July Deal$$$,entire home/apt
29854455,Spacious two-bedroom apartment near train,ENTIRE HOME/APT,Spacious two-bedroom apartment near train,entire home/apt
29855428,Cozy 1 bedroom Apartment  5 min from LGA!,Entire home/apt,Cozy 1 bedroom Apartment 5 min from LGA!,entire home/apt
29856229,GREAT FURNISHED BEDROOM NEAR MIDTOWN MANHATTAN,private room,GREAT FURNISHED BEDROOM NEAR MIDTOWN MANHATTAN,private room
29856590,Private cozy room after long day exploring NYC,PRIVATE ROOM,Private cozy room after long day exploring NYC,private room
29857392,"So Fresh & Clean whole apartment, Lower East Side!",Entire home/apt,"So Fresh & Clean whole apartment, Lower East Side!",entire home/apt
29858126,LARGE apartment. 12 minutes from midtown,entire home/apt,LARGE apartment. 12 minutes from midtown,entire home/apt
29858182,Luxury Affordable comfort in the Bronx-Suite 2!,Private room,Luxury Affordable comfort in the Bronx-Suite 2!,private room
29858389,Cozy one bedroom apt near Central Park,Entire home/apt,Cozy one bedroom apt near Central Park,entire home/apt
29858919,Luxury Family- Friendly Brooklyn Condo,entire home/apt,Luxury Family- Friendly Brooklyn Condo,entire home/apt
29858941,Luxury Affordable comfort in the Bronx-2 Bedroom!,Entire home/apt,Luxury Affordable comfort in the Bronx-2 Bedroom!,entire home/apt
29859444,Cozy Room Times Square - Hell´s Kitchen,Private room,Cozy Room Times Square - Hell´s Kitchen,private room
29860810,Sun-drenched duplex apartment,Private room,Sun-drenched duplex apartment,private room
29861097,LARGE Cozy Room by Prospect Park !,Private room,LARGE Cozy Room by Prospect Park !,private room
29862444,1 Bedroom - Great Place to land in Manhattan,Entire home/apt,1 Bedroom - Great Place to land in Manhattan,entire home/apt
29863494,Private RM and BR in Queens close to Manhattan,Private room,Private RM and BR in Queens close to Manhattan,private room
29867971,"Minimal, clean 2 bedroom in BedStuy Brooklyn",Entire home/apt,"Minimal, clean 2 bedroom in BedStuy Brooklyn",entire home/apt
29869390,HABITACIÓN COMPARTIDA PARA AVENTURERAS(Only Women),Shared room,HABITACIÓN COMPARTIDA PARA AVENTURERAS(Only Women),shared room
29869463,Large Studio with Best View in NYC!,Entire home/apt,Large Studio with Best View in NYC!,entire home/apt
29870750,Creative House for Traveling Creatives,Private room,Creative House for Traveling Creatives,private room
29874127,"Gym, Rooftop, Pool Lux entire flat no share",Entire home/apt,"Gym, Rooftop, Pool Lux entire flat no share",entire home/apt
29874869,2 mins walk from the subway station in West Harlem,Private room,2 mins walk from the subway station in West Harlem,private room
29875137,"HUGE & Luxurious 1 Bedroom w/ Dining Room, 2 Bath!",ENTIRE HOME/APT,"HUGE & Luxurious 1 Bedroom w/ Dining Room, 2 Bath!",entire home/apt
29875238,★AMAZING★ 4Beds/TIME SQUARE/NYC/PERFECT FOR U,Entire home/apt,★AMAZING★ 4Beds/TIME SQUARE/NYC/PERFECT FOR U,entire home/apt
29876288,Beautiful and bright apartment close to Manhattan!,Entire home/apt,Beautiful and bright apartment close to Manhattan!,entire home/apt
29876453,"In Riverdale, a most unusual apartment to enjoy.",private room,"In Riverdale, a most unusual apartment to enjoy.",private room
29877024,The Art Of Living - Loft apartment,Entire home/apt,The Art Of Living - Loft apartment,entire home/apt
29877448,Prime upper east 2BR~Newly furnished!best value,Entire home/apt,Prime upper east 2BR~Newly furnished!best value,entire home/apt
29878723,"Family-friendly Brownstone, 2 blocks to Subway!",entire home/apt,"Family-friendly Brownstone, 2 blocks to Subway!",entire home/apt
29879085,"Beautiful spacious Loft , east village,2 real beds",entire home/apt,"Beautiful spacious Loft , east village,2 real beds",entire home/apt
29880308,Sweet comfortable home,Entire home/apt,Sweet comfortable home,entire home/apt
29880984,Luxury suite in the heart of Manhattan,Entire home/apt,Luxury suite in the heart of Manhattan,entire home/apt
29881483,Apartment in greenwood heights /south slope,Entire home/apt,Apartment in greenwood heights /south slope,entire home/apt
29881712,Home Away from Home - Manhattan,Private room,Home Away from Home - Manhattan,private room
29881973,Small Full Sized Bedroom in Historic Manhattan,Private room,Small Full Sized Bedroom in Historic Manhattan,private room
29883798,⏩ It's Always Sunny At The Bleu Hauz ⏪,Entire home/apt,⏩ It's Always Sunny At The Bleu Hauz ⏪,entire home/apt
29883990,South Williamsburg Room,Private room,South Williamsburg Room,private room
29884003,Great Room next to Empire State Building w/ROOFTOP,Private room,Great Room next to Empire State Building w/ROOFTOP,private room
29884121,~ pure BLISS among CITY turmoil ~,PRIVATE ROOM,~ pure BLISS among CITY turmoil ~,private room
29884334,"Clean , Safe, Cozy 3min to JFK , LGA Best Value",private room,"Clean , Safe, Cozy 3min to JFK , LGA Best Value",private room
29884367,Luxury & safe and close to everything in NYC,Entire home/apt,Luxury & safe and close to everything in NYC,entire home/apt
29884497,~ cosy DWELLING for NYC MIDTOWN explorers ~,private room,~ cosy DWELLING for NYC MIDTOWN explorers ~,private room
29884848,private room for WOMEN ONLY near BX Little Italy,Private room,private room for WOMEN ONLY near BX Little Italy,private room
29885196,Airy Brooklyn Limestone:  2 bedroom suite,Private room,Airy Brooklyn Limestone: 2 bedroom suite,private room
29885604,Magic Waters Parlor Apartment,Entire home/apt,Magic Waters Parlor Apartment,entire home/apt
29885929,Private room 3 - mins from Central Park / CU,Private room,Private room 3 - mins from Central Park / CU,private room
29886141,BK Getaway:Private bath/bed/balcony near Barclays!,Private room,BK Getaway:Private bath/bed/balcony near Barclays!,private room
29889800,Large private room overlooking the skyline,private room,Large private room overlooking the skyline,private room
29891697,Studio in Gramercy/East Village! #10309,ENTIRE HOME/APT,Studio in Gramercy/East Village! #10309,entire home/apt
29893519,the Perfect LES studio,ENTIRE HOME/APT,the Perfect LES studio,entire home/apt
29895573,★Roof views/Quick to Times Sq/NY Presby/Columbia ★,Private room,★Roof views/Quick to Times Sq/NY Presby/Columbia ★,private room
29896132,"Spacious 1 bedroom in Flatbush, Brooklyn, NY.",ENTIRE HOME/APT,"Spacious 1 bedroom in Flatbush, Brooklyn, NY.",entire home/apt
29897019,Bright and spacious townhouse apartment in Soho,ENTIRE HOME/APT,Bright and spacious townhouse apartment in Soho,entire home/apt
29897802,Chic and Cozy West Village 1 Bedroom Home,Entire home/apt,Chic and Cozy West Village 1 Bedroom Home,entire home/apt
29897911,NY HUDSON RIVER DOUBLE DOUBLE ROOM,Private room,NY HUDSON RIVER DOUBLE DOUBLE ROOM,private room
29898413,Cozy Room for the Holidays in Brooklyn,Private room,Cozy Room for the Holidays in Brooklyn,private room
29898471,Modern 2 bedroom 2 bath with stunning park views,ENTIRE HOME/APT,Modern 2 bedroom 2 bath with stunning park views,entire home/apt
29898985,Artist Quarters spacious common room. Near subway,Private room,Artist Quarters spacious common room. Near subway,private room
29899434,Very Private One Bedroom Apt near NYU in Manhattan,entire home/apt,Very Private One Bedroom Apt near NYU in Manhattan,entire home/apt
29899574,Great penthouse in the heart of Downtown,Entire home/apt,Great penthouse in the heart of Downtown,entire home/apt
29899704,New York Cozy Home: 12 mins to NYC,Private room,New York Cozy Home: 12 mins to NYC,private room
29900235,"Cozy Manhattan Room, 15 minutes to Times Square",private room,"Cozy Manhattan Room, 15 minutes to Times Square",private room
29900575,Cozy private room close to Times Square 33C1,Private room,Cozy private room close to Times Square 33C1,private room
29900755,Your Manhattan Home: 12 mins to NYC,Private room,Your Manhattan Home: 12 mins to NYC,private room
29900966,Landmark Brooklyn Brownstone 35 min from Midtown,Entire home/apt,Landmark Brooklyn Brownstone 35 min from Midtown,entire home/apt
29901006,"Spacious, bright apt in the heart of Williamsburg",entire home/apt,"Spacious, bright apt in the heart of Williamsburg",entire home/apt
29902562,Beautiful Basement Apartment,Entire home/apt,Beautiful Basement Apartment,entire home/apt
29902956,#Private Room & Bath 30 min to Wall st NYC,Private room,#Private Room & Bath 30 min to Wall st NYC,private room
29903363,Huge Sunny Bedroom 1min from Central Park!,PRIVATE ROOM,Huge Sunny Bedroom 1min from Central Park!,private room
29903897,Spacious room with a double bed in heart of BK,Private room,Spacious room with a double bed in heart of BK,private room
29904305,Comfy room with a sunroof in the heart of BK!,private room,Comfy room with a sunroof in the heart of BK!,private room
29904478,Cozy room in the heart of Bushwick,private room,Cozy room in the heart of Bushwick,private room
29904741,Interfaith Retreats (St. Francis),Private room,Interfaith Retreats (St. Francis),private room
29905155,Beautiful Cobble Hill Waterfront Garden Apartment,Entire home/apt,Beautiful Cobble Hill Waterfront Garden Apartment,entire home/apt
29905327,Coney İsland beach,Entire home/apt,Coney İsland beach,entire home/apt
29905956,Full Comfortable Queens Apartment,Entire home/apt,Full Comfortable Queens Apartment,entire home/apt
29906273,Adorable Chelsea Studio in best neighborhood!,Entire home/apt,Adorable Chelsea Studio in best neighborhood!,entire home/apt
29906282,Full apt for 6 in a conveniently located area,Entire home/apt,Full apt for 6 in a conveniently located area,entire home/apt
29906659,Quite spotless private room in Queens,Private room,Quite spotless private room in Queens,private room
29907089,Clean and Cozy 1Bedroom near LGA,private room,Clean and Cozy 1Bedroom near LGA,private room
29907701,5 Minutes Walking Distance to Subway Station #2,private room,5 Minutes Walking Distance to Subway Station #2,private room
29907751,Best Location Sun Filled West Village Townhome,ENTIRE HOME/APT,Best Location Sun Filled West Village Townhome,entire home/apt
29907852,Plantation House,ENTIRE HOME/APT,Plantation House,entire home/apt
29908325,"12 minutes from JFK, private room and bath.",private room,"12 minutes from JFK, private room and bath.",private room
29909672,"Beautiful, comfy full 1BR in the heart of Chelsea",Entire home/apt,"Beautiful, comfy full 1BR in the heart of Chelsea",entire home/apt
29909820,203 Cozy Clean Private Bedroom,Private room,203 Cozy Clean Private Bedroom,private room
29918219,Soho Gem | 2 Bedroom 2 Bath Flat,Entire home/apt,Soho Gem | 2 Bedroom 2 Bath Flat,entire home/apt
29920808,Nice and spacious 1-bedroom apartment in Astoria,Entire home/apt,Nice and spacious 1-bedroom apartment in Astoria,entire home/apt
29921529,E. Village 1-Bedroom,Entire home/apt,E. Village 1-Bedroom,entire home/apt
29921568,"Sunny/Quiet/Clean/Zen, in Central Location!",Private room,"Sunny/Quiet/Clean/Zen, in Central Location!",private room
29921569,Peaceful Williamsburg Garden Duplex,ENTIRE HOME/APT,Peaceful Williamsburg Garden Duplex,entire home/apt
29923252,ONE Bed Room ￫￫￫20mins to Manhattan ☆彡 Wow! COZY!,Private room,ONE Bed Room ￫￫￫20mins to Manhattan ☆彡 Wow! COZY!,private room
29923618,Modern 3 Bedroom with Private Backyard,entire home/apt,Modern 3 Bedroom with Private Backyard,entire home/apt
29923634,Studio King Room | 5th Ave | Full Sofabed,entire home/apt,Studio King Room | 5th Ave | Full Sofabed,entire home/apt
29923660,Luxury waterfront apartment- 1 stop from Manhattan,entire home/apt,Luxury waterfront apartment- 1 stop from Manhattan,entire home/apt
29923760,Lovely BRIGHT apt in Ft. Hamilton Brooklyn,Shared room,Lovely BRIGHT apt in Ft. Hamilton Brooklyn,shared room
29924001,"Spacious 1-Bedroom in Brooklyn, PLG",Entire home/apt,"Spacious 1-Bedroom in Brooklyn, PLG",entire home/apt
29924285,Private Apt Manhattan Upper East 12min CentralPark,Entire home/apt,Private Apt Manhattan Upper East 12min CentralPark,entire home/apt
29926001,Room next to Central Park,private room,Room next to Central Park,private room
29927138,A great space in NYC,ENTIRE HOME/APT,A great space in NYC,entire home/apt
29928630,Punjabi House,Private room,Punjabi House,private room
29929095,"Spacious studio by the LIRR, Q3-Q85 to JFK, trains",Entire home/apt,"Spacious studio by the LIRR, Q3-Q85 to JFK, trains",entire home/apt
29929331,“TIME SQUARE” 43rd street SINGLE BED,Shared room,“TIME SQUARE” 43rd street SINGLE BED,shared room
29929702,"""The Spot""",Entire home/apt,"""The Spot""",entire home/apt
29930623,"Cozy, lofted room in Bushwick",PRIVATE ROOM,"Cozy, lofted room in Bushwick",private room
29931976,Hudson Yard - Bright Double Double  Room,PRIVATE ROOM,Hudson Yard - Bright Double Double Room,private room
29935981,Fully renovated historic district townhouse,Entire home/apt,Fully renovated historic district townhouse,entire home/apt
29936213,"Spacious, Sunny, and Boutique Condo for Catlovers",entire home/apt,"Spacious, Sunny, and Boutique Condo for Catlovers",entire home/apt
29936587,Bright and stylish bedroom 20min from Times Square,Private room,Bright and stylish bedroom 20min from Times Square,private room
29937451,Barrett ‘s Family home,Private room,Barrett ‘s Family home,private room
29937893,Industrial duplex with river and Manhattan views,ENTIRE HOME/APT,Industrial duplex with river and Manhattan views,entire home/apt
29937919,Harlem Heights Double Suites,Private room,Harlem Heights Double Suites,private room
29938457,Cozy 1 bedroom in the heart of Greenwich!,Entire home/apt,Cozy 1 bedroom in the heart of Greenwich!,entire home/apt
29939528,Comfortable living space,Entire home/apt,Comfortable living space,entire home/apt
29940344,Spacious Park Avenue (Website hidden by Airbnb) -2-Month lease,entire home/apt,Spacious Park Avenue (Website hidden by Airbnb) -2-Month lease,entire home/apt
29940771,COMFORTABLE BEDROOM FOR LONG TERM,Private room,COMFORTABLE BEDROOM FOR LONG TERM,private room
29941633,Yogin's Paradise,ENTIRE HOME/APT,Yogin's Paradise,entire home/apt
29942196,#1 Modern Gem 2br apt..(Street parking available),Entire home/apt,#1 Modern Gem 2br apt..(Street parking available),entire home/apt
29942679,Cozy 1 Bedroom in Prospect Park South,entire home/apt,Cozy 1 Bedroom in Prospect Park South,entire home/apt
29942901,"2 Beds apt, walk to Central Park and time square",ENTIRE HOME/APT,"2 Beds apt, walk to Central Park and time square",entire home/apt
29943061,Sunlit Private 1BR Suite w/Kitchen/Bath @A/C Lines,Entire home/apt,Sunlit Private 1BR Suite w/Kitchen/Bath @A/C Lines,entire home/apt
29943391,Cozy tiny bedroom w/large living-room & kitchen.,PRIVATE ROOM,Cozy tiny bedroom w/large living-room & kitchen.,private room
29943455,Cozy and Nice room in Queens! good subway access!,Private room,Cozy and Nice room in Queens! good subway access!,private room
29943543,Brooklyn Loft with a Musical Soul,Private room,Brooklyn Loft with a Musical Soul,private room
29943700,Cozy One Bedroom in the Heart of Fort Greene,Entire home/apt,Cozy One Bedroom in the Heart of Fort Greene,entire home/apt
29943824,"Perfect family retreat for New York City ,Bushwick",ENTIRE HOME/APT,"Perfect family retreat for New York City ,Bushwick",entire home/apt
