listing_id,description,room_type,formatted_description,formatted_room_type
12813068,NEW NICE CLEAN & COZY PRIVATE ROOM,Private room,NEW NICE CLEAN & COZY PRIVATE ROOM,private room
12813206,Sunny Apartment Across from Sunset Park,Entire home/apt,Sunny Apartment Across from Sunset Park,entire home/apt
12814578,Colorful Brooklyn Garden Casita,Entire home/apt,Colorful Brooklyn Garden Casita,entire home/apt
12814685,"Great location in NYC, clean, quiet and cozy",Private room,"Great location in NYC, clean, quiet and cozy",private room
12814991,"NYC Sanctuary, Skyline Views & Rooftop",ENTIRE HOME/APT,"NYC Sanctuary, Skyline Views & Rooftop",entire home/apt
12826965,Cozy Bright Private Room in NY (Only for female),Private room,Cozy Bright Private Room in NY (Only for female),private room
12829063,Large & Unique multi Rooms Loft close to all,Entire home/apt,Large & Unique multi Rooms Loft close to all,entire home/apt
12832062,The Yellow Bungalow of Rockaway Beach,entire home/apt,The Yellow Bungalow of Rockaway Beach,entire home/apt
12834748,A bay window on Brooklyn,Private room,A bay window on Brooklyn,private room
12847429,Spacious 2 BR in Midtown,Entire home/apt,Spacious 2 BR in Midtown,entire home/apt
12847902,Beautiful modern home!,Private room,Beautiful modern home!,private room
12851015,Midtown East XL 1 BR,entire home/apt,Midtown East XL 1 BR,entire home/apt
12851100,New studio apartment 4mins from subway in Astoria,ENTIRE HOME/APT,New studio apartment 4mins from subway in Astoria,entire home/apt
12852083,Boerum Hill Beautiful Spacious Two Bedrooms Apt.,Entire home/apt,Boerum Hill Beautiful Spacious Two Bedrooms Apt.,entire home/apt
12853281,Brand New Luxurious Studio Midtown,Entire home/apt,Brand New Luxurious Studio Midtown,entire home/apt
12854724,Great Modern Studio in Chelsea!,entire home/apt,Great Modern Studio in Chelsea!,entire home/apt
12854734,LIVE HERE!! COZY STUDIO IN CHELSEA!,Entire home/apt,LIVE HERE!! COZY STUDIO IN CHELSEA!,entire home/apt
12855923,New York Space,Private room,New York Space,private room
12856720,5mn location from Manhattan midtown,Private room,5mn location from Manhattan midtown,private room
12862929,Bright and Airy Bedroom,private room,Bright and Airy Bedroom,private room
12863815,"Amazing 1BR, heart of West Village",Entire home/apt,"Amazing 1BR, heart of West Village",entire home/apt
12867918,DESIGNER STUDIO NEAR CENTRAL PARK UPPER EAST SIDE,Entire home/apt,DESIGNER STUDIO NEAR CENTRAL PARK UPPER EAST SIDE,entire home/apt
